549 	457	2	24-04-2018	26-04-2018
248 	17	1	20-04-2018	20-04-2018
1221	845	2	08-05-2018	10-05-2018
1367	17	2	11-05-2018	11-05-2018
1370	17	1	12-05-2018	12-05-2018
8504	198	5	30-11-2020	30-11-2020
8617	845	4	04-12-2020	06-12-2020
9000	457	5	10-12-2020	12-12-2020
9045	495	1 	11-12-2020	11-12-2020
9120	17	3	16-12-2020	16-12-2020
9121	17	3	16-12-2020	16-12-2020
9122	17	3	16-12-2020	16-12-2020
9123	17	3	16-12-2020	16-12-2020
9178	845 	1 	18-12-2020	18-12-2020
9179	845 	1 	18-12-2020	18-12-2020
